CoAID,CytokineID,Src,Number,PostTime
4,6,/upload_files/files/cytokine-coa/4.pdf,SIL8013,2016-06-13 13:43:23
5,4,/upload_files/files/cytokine-coa/5.pdf,SI6003,2016-06-21 21:43:21
6,8,/upload_files/files/cytokine-coa/6.pdf,SI6009,2016-06-21 21:44:43
7,12,/upload_files/files/cytokine-coa/7.pdf,SI6017,2016-06-21 21:45:45
8,13,/upload_files/files/cytokine-coa/8.pdf,SI6039,2016-06-21 21:46:57
9,17,/upload_files/files/cytokine-coa/9.pdf,SI6021,2016-06-21 21:48:00
10,30,/upload_files/files/cytokine-coa/10.pdf,SI6011,2016-06-21 21:49:04
11,28,/upload_files/files/cytokine-coa/11.pdf,SI6033,2016-06-21 21:50:18
12,35,/upload_files/files/cytokine-coa/12.pdf,SI6042,2016-06-21 21:51:51
13,37,/upload_files/files/cytokine-coa/13.pdf,SI6014,2016-06-21 21:52:33
14,38,/upload_files/files/cytokine-coa/14.pdf,SI6015,2016-06-21 21:53:19
15,39,/upload_files/files/cytokine-coa/15.pdf,SI6016,2016-06-21 21:53:53
16,2,/upload_files/files/cytokine-coa/16.pdf,SI6001,2016-06-21 21:58:19
17,27,/upload_files/files/cytokine-coa/17.pdf,SI6010,2016-06-21 21:59:23
18,25,/upload_files/files/cytokine-coa/18.pdf,SI6041,2016-06-21 22:00:05
19,45,/upload_files/files/cytokine-coa/19.pdf,SI6048,2016-06-21 23:40:04
20,44,/upload_files/files/cytokine-coa/20.pdf,SI6047,2016-06-21 23:40:49
21,43,/upload_files/files/cytokine-coa/21.pdf,SI6036,2016-06-21 23:41:39
22,42,/upload_files/files/cytokine-coa/22.pdf,SIO6054,2016-06-21 23:42:33
23,41,/upload_files/files/cytokine-coa/23.pdf,SI6049,2016-06-21 23:43:27
24,7,/upload_files/files/cytokine-coa/24.pdf,SI6059,2016-06-21 23:46:03
25,5,/upload_files/files/cytokine-coa/25.pdf,SI6004,2016-06-22 00:01:08
26,18,/upload_files/files/cytokine-coa/26.pdf,SI6012,2016-06-22 02:04:38
27,29,/upload_files/files/cytokine-coa/27.pdf,SI6006,2016-06-22 02:06:09
28,33,/upload_files/files/cytokine-coa/28.pdf,SI6008,2016-06-22 02:07:22
29,32,/upload_files/files/cytokine-coa/29.pdf,SI6030,2016-06-22 02:08:43
30,19,/upload_files/files/cytokine-coa/30.pdf,SI6029,2016-06-22 02:10:33
33,22,/upload_files/files/cytokine-coa/33.pdf,SI6026,2016-06-22 02:13:54
34,23,/upload_files/files/cytokine-coa/34.pdf,SI6027,2016-06-22 02:15:12
35,20,/upload_files/files/cytokine-coa/35.pdf,SI6024,2016-06-22 02:16:21
36,6,/upload_files/files/cytokine-coa/36.pdf,SI6023,2016-06-22 02:17:17
37,3,/upload_files/files/cytokine-coa/37.pdf,SI6002,2016-06-22 02:19:03
38,31,/upload_files/files/cytokine-coa/38.pdf,SI6063,2016-06-22 03:00:54
39,36,/upload_files/files/cytokine-coa/39.pdf,SI6032,2016-06-22 04:23:56
40,34,/upload_files/files/cytokine-coa/40.pdf,SI6013,2016-06-22 04:24:48
41,16,/upload_files/files/cytokine-coa/41.pdf,SI6035,2016-06-22 04:25:34
42,15,/upload_files/files/cytokine-coa/42.pdf,SI6037,2016-06-22 04:26:25
43,14,/upload_files/files/cytokine-coa/43.pdf,SI6038,2016-06-22 04:27:06
44,11,/upload_files/files/cytokine-coa/44.pdf,SI6020,2016-06-22 04:27:49
45,10,/upload_files/files/cytokine-coa/45.pdf,SI6019,2016-06-22 04:28:30
46,9,/upload_files/files/cytokine-coa/46.pdf,SI6018,2016-06-22 04:29:08
47,26,/upload_files/files/cytokine-coa/47.pdf,SI6040,2016-06-22 04:29:51
49,46,/upload_files/files/cytokine-coa/49.pdf,SI6060,2016-06-22 22:40:47
50,40,/upload_files/files/cytokine-coa/50.pdf,SI6046,2016-06-22 22:41:38
51,47,/upload_files/files/cytokine-coa/51.pdf,SI6022,2016-06-24 00:11:27
52,48,/upload_files/files/cytokine-coa/52.pdf,SI6031,2016-07-19 08:15:11
55,24,/upload_files/files/cytokine-coa/55.pdf,SI6028,2017-01-10 18:14:01
56,21,/upload_files/files/cytokine-coa/56.pdf,SI6005,2017-01-10 18:18:11
57,52,/upload_files/files/cytokine-coa/57.pdf,SI7004,2017-01-10 19:35:05
58,53,/upload_files/files/cytokine-coa/58.pdf,SIO7005,2017-01-10 19:46:17
60,54,/upload_files/files/cytokine-coa/60.pdf,SI6065,2017-01-11 18:00:04
61,55,/upload_files/files/cytokine-coa/61.pdf,SIL6043,2017-07-18 23:18:30
62,56,/upload_files/files/cytokine-coa/62.pdf,SIL8012,2017-09-14 12:02:02
63,48,/upload_files/files/cytokine-coa/63.pdf,SIL8014,2017-10-31 23:51:13
64,50,/upload_files/files/cytokine-coa/64.pdf,SIO7012,2017-12-13 17:48:58
65,6,/upload_files/files/cytokine-coa/65.pdf,SIO6023,2018-03-20 19:40:41
66,50,/upload_files/files/cytokine-coa/66.pdf,SIO1005,2019-10-08 15:54:02

